invoice_line_no,date,store,name,address,city,zipcode,store_location,county_number,county,category,category_name,vendor_no,vendor_name,itemno,im_desc,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,sale_bottles,sale_dollars,sale_liters,sale_gallons,longitude,latitude
INV-41332200007,2021-10-25,4540,CASEY'S GENERAL STORE #2915 / BELLEVUE,1104 N RIVERVIEW ST,BELLEVUE,52031,"{'type': 'Point', 'coordinates': [-90.427844, 42.268432]}",49,JACKSON,1022100,MIXTO TEQUILA,395,PROXIMO,89199,JOSE CUERVO ESPECIAL REPOSADO SQUARE,12,375,6.00,9.00,4,36.0,1.5,0.39,,
INV-41210700020,2021-10-21,2190,"CENTRAL CITY LIQUOR, INC.",1460 2ND AVE,DES MOINES,50314,"{'type': 'Point', 'coordinates': [-93.619787, 41.60566]}",77,POLK,1062400,SPICED RUM,260,DIAGEO AMERICAS,43336,CAPTAIN MORGAN ORIGINAL SPICED,12,750,9.06,13.59,12,163.08,9.0,2.37,,
INV-41252300001,2021-10-22,4929,CASEY'S GENERAL STORE #1680 / ADEL,816 GREENE ST,ADEL,50003,"{'type': 'Point', 'coordinates': [-94.018348, 41.614408]}",25,DALLAS,1031100,AMERICAN VODKAS,301,FIFTH GENERATION INC,38178,TITOS HANDMADE VODKA,6,1750,19.00,28.50,2,57.0,3.5,0.92,,
INV-41280800005,2021-10-22,5910,ELDRIDGE MART,209 E. LE CLAIRE RD,ELDRIDGE,52748,"{'type': 'Point', 'coordinates': [-90.58154, 41.654676]}",82,SCOTT,1011200,STRAIGHT BOURBON WHISKIES,065,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,11.00,16.50,36,594.0,27.0,7.13,,
INV-41203100041,2021-10-20,6161,BUCKY'S EXPRESS #22 / COUNCIL BLUFFS,3434 NEBRASKA AVE,COUNCIL BLUFFS,51501,"{'type': 'Point', 'coordinates': [-95.900444, 41.244643]}",78,POTTAWATTAMIE,1081300,AMERICAN CORDIALS & LIQUEURS,421,SAZERAC COMPANY  INC,84197,99 PINEAPPLE MINI,10,50,5.16,7.74,1,7.74,0.05,0.01,,
INV-41284700092,2021-10-22,2543,HY-VEE FOOD STORE #1 / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,"{'type': 'Point', 'coordinates': [-92.438463, 41.01558]}",90,WAPELLO,1011400,TENNESSEE WHISKIES,085,BROWN FORMAN CORP.,86668,JACK DANIELS TENNESSEE HONEY MINI,12,50,11.50,17.25,3,51.75,0.15,0.03,,
INV-41301700015,2021-10-25,5347,KUM & GO #1097 / 50TH WDM,220 50TH ST,WEST DES MOINES,50265,"{'type': 'Point', 'coordinates': [-93.770919, 41.572085]}",77,POLK,1031100,AMERICAN VODKAS,195,SWELL LIQUOR LLC,38056,SWELL VODKA,12,750,6.00,9.00,4,36.0,3.0,0.79,,
INV-41309800018,2021-10-25,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807,"{'type': 'Point', 'coordinates': [-90.513769, 41.574973]}",82,SCOTT,1031100,AMERICAN VODKAS,380,PHILLIPS BEVERAGE,37664,ROW VODKA MINI,12,50,3.51,5.27,12,63.24,0.6,0.15,,
INV-41259700016,2021-10-22,3678,"SMOKE SHOP, THE",1918 SE 14TH ST,DES MOINES,50320,"{'type': 'Point', 'coordinates': [-93.597011, 41.570844]}",77,POLK,1041100,AMERICAN DRY GINS,370,PERNOD RICARD USA,32238,SEAGRAMS EXTRA DRY GIN,6,1750,12.99,19.49,2,38.98,3.5,0.92,,
INV-41259900015,2021-10-22,6118,CASH SAVER #33 / DES MOINES,1320 E EUCLID AVE,DES MOINES,50313,,77,POLK,1031100,AMERICAN VODKAS,626,JDSO INC / RED BOOT DISTILLERY,36875,BLUE OX VODKA,6,1750,7.28,10.92,30,327.6,52.5,13.86,,
